,pop,month,day,hours,city,city_id
157,0.0,6,23,12,Le Havre,116797886
140,1.0,6,21,9,Le Havre,116797886
132,0.0,6,20,9,Le Havre,116797886
158,0.0,6,23,15,Le Havre,116797886
150,0.41,6,22,15,Le Havre,116797886
142,0.9,6,21,15,Le Havre,116797886
134,0.25,6,20,15,Le Havre,116797886
126,0.22,6,19,15,Le Havre,116797886
159,0.0,6,23,18,Le Havre,116797886
125,0.0,6,19,12,Le Havre,116797886
133,0.0,6,20,12,Le Havre,116797886
141,1.0,6,21,12,Le Havre,116797886
149,0.94,6,22,12,Le Havre,116797886
156,0.0,6,23,9,Le Havre,116797886
148,1.0,6,22,9,Le Havre,116797886
285,0.0,6,19,12,Lille,118533424
319,0.08,6,23,18,Lille,118533424
294,0.0,6,20,15,Lille,118533424
284,0.0,6,19,9,Lille,118533424
316,0.2,6,23,9,Lille,118533424
308,0.0,6,22,9,Lille,118533424
300,1.0,6,21,9,Lille,118533424
292,0.0,6,20,9,Lille,118533424
302,1.0,6,21,15,Lille,118533424
286,0.0,6,19,15,Lille,118533424
310,0.0,6,22,15,Lille,118533424
293,0.0,6,20,12,Lille,118533424
287,0.0,6,19,18,Lille,118533424
301,1.0,6,21,12,Lille,118533424
309,0.36,6,22,12,Lille,118533424
317,0.71,6,23,12,Lille,118533424
311,0.2,6,22,18,Lille,118533424
303,1.0,6,21,18,Lille,118533424
295,0.0,6,20,18,Lille,118533424
318,0.79,6,23,15,Lille,118533424
415,0.2,6,20,18,Colmar,136331572
423,0.0,6,21,18,Colmar,136331572
422,0.33,6,21,15,Colmar,136331572
430,0.98,6,22,15,Colmar,136331572
414,0.16,6,20,15,Colmar,136331572
431,0.89,6,22,18,Colmar,136331572
405,1.0,6,19,12,Colmar,136331572
439,1.0,6,23,18,Colmar,136331572
438,1.0,6,23,15,Colmar,136331572
413,0.0,6,20,12,Colmar,136331572
436,0.83,6,23,9,Colmar,136331572
429,1.0,6,22,12,Colmar,136331572
406,1.0,6,19,15,Colmar,136331572
407,0.84,6,19,18,Colmar,136331572
437,0.96,6,23,12,Colmar,136331572
428,1.0,6,22,9,Colmar,136331572
420,1.0,6,21,9,Colmar,136331572
412,0.0,6,20,9,Colmar,136331572
404,0.75,6,19,9,Colmar,136331572
421,1.0,6,21,12,Colmar,136331572
375,0.29,6,20,18,Château du Haut-Kœnigsbourg,136411398
399,1.0,6,23,18,Château du Haut-Kœnigsbourg,136411398
391,0.75,6,22,18,Château du Haut-Kœnigsbourg,136411398
383,0.0,6,21,18,Château du Haut-Kœnigsbourg,136411398
367,0.68,6,19,18,Château du Haut-Kœnigsbourg,136411398
380,1.0,6,21,9,Château du Haut-Kœnigsbourg,136411398
372,0.0,6,20,9,Château du Haut-Kœnigsbourg,136411398
365,1.0,6,19,12,Château du Haut-Kœnigsbourg,136411398
373,0.0,6,20,12,Château du Haut-Kœnigsbourg,136411398
381,1.0,6,21,12,Château du Haut-Kœnigsbourg,136411398
389,1.0,6,22,12,Château du Haut-Kœnigsbourg,136411398
397,0.36,6,23,12,Château du Haut-Kœnigsbourg,136411398
364,0.33,6,19,9,Château du Haut-Kœnigsbourg,136411398
398,1.0,6,23,15,Château du Haut-Kœnigsbourg,136411398
382,0.0,6,21,15,Château du Haut-Kœnigsbourg,136411398
366,0.94,6,19,15,Château du Haut-Kœnigsbourg,136411398
396,0.23,6,23,9,Château du Haut-Kœnigsbourg,136411398
388,1.0,6,22,9,Château du Haut-Kœnigsbourg,136411398
390,0.97,6,22,15,Château du Haut-Kœnigsbourg,136411398
374,0.04,6,20,15,Château du Haut-Kœnigsbourg,136411398
471,0.89,6,22,18,Eguisheim,136516441
447,0.92,6,19,18,Eguisheim,136516441
479,1.0,6,23,18,Eguisheim,136516441
463,0.01,6,21,18,Eguisheim,136516441
