,dt,main,weather,clouds,wind,visibility,pop,sys,dt_txt,rain,city,city_id,month,day,hours
45,1718798400,"{'temp': 290.32, 'feels_like': 290.23, 'temp_min': 290.32, 'temp_max': 290.32, 'pressure': 1018, 'sea_level': 1018, 'grnd_level': 1015, 'humidity': 82, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 83},"{'speed': 7.96, 'deg': 43, 'gust': 10.94}",10000.0,0.26,{'pod': 'd'},2024-06-19 12:00:00,{'3h': 0.14},Saint-Malo,277106181,6,19,12
46,1718809200,"{'temp': 289.87, 'feels_like': 289.92, 'temp_min': 289.87, 'temp_max': 289.87, 'pressure': 1018, 'sea_level': 1018, 'grnd_level': 1015, 'humidity': 89, 'temp_kf': 0}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",{'all': 100},"{'speed': 7.39, 'deg': 45, 'gust': 11.05}",10000.0,1.0,{'pod': 'd'},2024-06-19 15:00:00,{'3h': 3.5},Saint-Malo,277106181,6,19,15
47,1718820000,"{'temp': 288.91, 'feels_like': 288.92, 'temp_min': 288.91, 'temp_max': 288.91, 'pressure': 1018, 'sea_level': 1018, 'grnd_level': 1016, 'humidity': 91, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 100},"{'speed': 7.76, 'deg': 47, 'gust': 12.38}",10000.0,1.0,{'pod': 'd'},2024-06-19 18:00:00,{'3h': 0.43},Saint-Malo,277106181,6,19,18
48,1718830800,"{'temp': 288.64, 'feels_like': 288.59, 'temp_min': 288.64, 'temp_max': 288.64, 'pressure': 1019, 'sea_level': 1019, 'grnd_level': 1017, 'humidity': 90, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'all': 99},"{'speed': 7.6, 'deg': 45, 'gust': 12.08}",10000.0,0.35,{'pod': 'n'},2024-06-19 21:00:00,{'3h': 0.23},Saint-Malo,277106181,6,19,21
49,1718841600,"{'temp': 288.43, 'feels_like': 288.42, 'temp_min': 288.43, 'temp_max': 288.43, 'pressure': 1019, 'sea_level': 1019, 'grnd_level': 1016, 'humidity': 92, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'all': 96},"{'speed': 6.48, 'deg': 61, 'gust': 11.42}",10000.0,0.53,{'pod': 'n'},2024-06-20 00:00:00,{'3h': 0.38},Saint-Malo,277106181,6,20,0
50,1718852400,"{'temp': 287.93, 'feels_like': 287.89, 'temp_min': 287.93, 'temp_max': 287.93, 'pressure': 1018, 'sea_level': 1018, 'grnd_level': 1015, 'humidity': 93, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'all': 70},"{'speed': 5.46, 'deg': 53, 'gust': 8.42}",10000.0,1.0,{'pod': 'n'},2024-06-20 03:00:00,{'3h': 1.68},Saint-Malo,277106181,6,20,3
51,1718863200,"{'temp': 287.92, 'feels_like': 287.83, 'temp_min': 287.92, 'temp_max': 287.92, 'pressure': 1018, 'sea_level': 1018, 'grnd_level': 1015, 'humidity': 91, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 78},"{'speed': 5.9, 'deg': 54, 'gust': 8.26}",10000.0,1.0,{'pod': 'd'},2024-06-20 06:00:00,{'3h': 0.38},Saint-Malo,277106181,6,20,6
52,1718874000,"{'temp': 290.38, 'feels_like': 290.33, 'temp_min': 290.38, 'temp_max': 290.38, 'pressure': 1017, 'sea_level': 1017, 'grnd_level': 1014, 'humidity': 83, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",{'all': 43},"{'speed': 5.52, 'deg': 40, 'gust': 7.52}",10000.0,0.0,{'pod': 'd'},2024-06-20 09:00:00,,Saint-Malo,277106181,6,20,9
53,1718884800,"{'temp': 292.63, 'feels_like': 292.64, 'temp_min': 292.63, 'temp_max': 292.63, 'pressure': 1016, 'sea_level': 1016, 'grnd_level': 1013, 'humidity': 77, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 74},"{'speed': 6.61, 'deg': 26, 'gust': 8.27}",10000.0,0.0,{'pod': 'd'},2024-06-20 12:00:00,,Saint-Malo,277106181,6,20,12
54,1718895600,"{'temp': 290.85, 'feels_like': 291, 'temp_min': 290.85, 'temp_max': 290.85, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 1012, 'humidity': 89, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 100},"{'speed': 7.5, 'deg': 19, 'gust': 10.59}",6629.0,1.0,{'pod': 'd'},2024-06-20 15:00:00,{'3h': 1.24},Saint-Malo,277106181,6,20,15
55,1718906400,"{'temp': 289.27, 'feels_like': 289.47, 'temp_min': 289.27, 'temp_max': 289.27, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 1012, 'humidity': 97, 'temp_kf': 0}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",{'all': 100},"{'speed': 6.54, 'deg': 21, 'gust': 8.91}",9997.0,1.0,{'pod': 'd'},2024-06-20 18:00:00,{'3h': 9.33},Saint-Malo,277106181,6,20,18
